"Ya en calendario","...2","Prioridad","Nombre","Alcaldía","cve_col","Grupo Electoral","Poblacion 2020","Colonias operativas","Grado Marginación","Nivel Desarrollo Social","Indice Desarrollo Social","Postes Totales","Postes C5","WiFi Barrio","Unidad habitacional","Unidad habitacional en programa WiFi","Razon","Asentamiento irregular","Fecha","visita"
1,NA,"P3","AGUILAS 3ER PARQUE","ALVARO OBREGON","10-005","Volátiles",3832,0.479,5,"Bajo",0.80453508667,4,2,2,0,0,958,0,"martes 6 de septiembre",NA
1,NA,"P3","SAN CLEMENTE","ALVARO OBREGON","10-195","Volátiles",9041,1.130125,5,"Bajo",0.83093462174,10,3,7,0,0,904.1,0,"martes 6 de septiembre",NA
1,NA,"P3","TLAPECHICO","ALVARO OBREGON","10-224","Volátiles",3605,0.450625,5,"Bajo",0.79347884074,4,1,3,1,0,901.25,0,"jueves 22 de septiembre",NA
1,NA,"P3","LA MEXICANA","ALVARO OBREGON","10-106","Volátiles",6393,0.799125,5,"Bajo",0.80883873636,8,4,4,0,0,799.125,0,"miércoles 28 de septiembre",NA
1,NA,"P3","JALALPA EL GRANDE","ALVARO OBREGON","10-089","Voto duro Morena",11555,1.444375,5,"Bajo",0.78653844545,16,7,9,0,0,722.1875,0,"jueves 22 de septiembre",NA
1,NA,"P3","LOMAS DE LA ERA","ALVARO OBREGON","10-132","Voto duro Morena",14185,1.773125,5,"Bajo",0.79354137875,20,8,12,0,0,709.25,0,"martes 6 de septiembre",NA
1,NA,"P3","TLACOYAQUE (AMPL)","ALVARO OBREGON","10-220","Volátiles",4925,0.615625,5,"Bajo",0.78079587826,7,1,6,0,0,703.571428571429,1,"martes 23 de agosto",NA
1,NA,"P3","LA JOYA","ALVARO OBREGON","10-103","Voto duro Morena",2546,0.31825,5,"Bajo",0.778832125,4,3,1,0,0,636.5,0,"miércoles 19 de octubre",NA
1,NA,"P3","CORPUS CHRISTY","ALVARO OBREGON","10-047","Volátiles",9347,1.168375,5,"Bajo",0.82902445517,17,11,6,1,1,549.823529411765,0,"jueves 15 de septiemnbre",NA
1,NA,"P3","LOMAS DE CHAMONTOYA","ALVARO OBREGON","10-130","Voto duro Morena",6577,0.822125,5,"Bajo",0.77895713548,12,1,11,1,1,548.083333333333,0,"martes 23 de agosto",NA
